user_id,ratings
1,5.0
2,4.0
3,3.0
4,5.0
5,4.0
6,3.0
7,5.0
8,4.0
9,3.0
10,5.0
11,4.0
12,3.0
13,5.0
14,4.0
15,3.0
16,5.0
17,4.0
18,3.0
19,5.0
20,4.0
21,3.0
22,5.0
23,4.0
24,3.0
25,5.0
26,4.0
27,3.0
28,5.0
29,4.0
30,3.0
31,5.0
32,4.0
33,3.0
34,5.0
35,4.0
36,3.0
37,5.0
38,4.0
39,3.0
41,4.0
42,3.0
43,5.0
44,4.0
45,3.0
46,5.0
47,4.0
48,3.0
49,5.0
50,4.0
51,3.0
52,5.0
53,4.0
54,3.0
55,5.0
56,4.0
57,3.0
58,5.0
59,4.0
60,3.0
61,5.0
62,4.0
63,3.0
64,5.0
65,4.0
66,3.0
67,5.0
68,4.0
69,3.0
70,5.0
71,4.0
72,5.0
73,4.0
74,3.0
75,5.0
76,4.0
77,3.0
78,5.0
79,4.0
80,3.0
81,5.0
82,4.0
83,3.0
84,5.0
85,4.0
86,3.0
87,5.0
88,4.0
89,3.0
90,5.0
91,4.0
92,3.0
93,5.0
94,4.0
95,3.0
96,5.0
97,4.0
98,3.0
99,5.0
100,4.0
101,3.0
102,5.0
103,4.0
104,3.0
105,5.0
106,4.0
107,3.0
108,5.0
109,4.0
110,3.0
111,5.0
112,4.0
113,3.0
114,5.0
115,4.0
116,3.0
117,5.0
118,4.0
119,3.0
120,5.0
121,4.0
122,3.0
123,5.0
124,4.0
125,3.0
126,5.0
127,4.0
128,3.0
129,5.0
130,4.0
131,3.0
132,5.0
133,4.0
134,3.0
135,5.0
136,4.0
137,3.0
138,5.0
139,4.0
140,3.0
141,5.0
142,4.0
143,3.0
144,5.0
145,4.0
146,3.0
147,5.0
148,4.0
149,3.0
150,5.0
151,4.0
152,3.0
153,5.0
154,4.0
155,3.0
156,5.0
157,4.0
158,3.0
159,5.0
160,4.0
161,3.0
162,5.0
163,4.0
164,3.0
165,5.0
166,4.0
167,3.0
168,5.0
169,4.0
170,3.0
171,5.0
172,4.0
